itemId,itemName,category,abcClass,date,openingStock,received,consumption,closingStock,msl
ITEM-0001,Product 1,Raw Materials,A,2025-02-01,271,5,20,256,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-02,191,3,47,147,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-03,215,29,10,234,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-04,183,23,29,177,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-05,176,22,8,190,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-06,252,7,30,229,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-07,157,5,23,139,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-08,187,27,19,195,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-09,196,14,3,207,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-10,255,29,48,236,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-11,300,14,1,313,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-12,257,18,25,250,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-13,294,4,43,255,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-14,191,21,25,187,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-15,189,19,18,190,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-16,141,11,48,104,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-17,168,25,0,193,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-18,263,4,37,230,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-19,247,3,10,240,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-20,198,2,42,158,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-21,282,17,5,294,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-22,131,22,4,149,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-23,259,1,43,217,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-24,134,1,39,96,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-25,205,4,0,209,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-26,194,8,16,186,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-27,264,5,23,246,152
ITEM-0001,Product 1,Raw Materials,A,2025-02-28,284,16,29,271,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-01,190,17,43,164,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-02,199,8,10,197,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-03,283,2,11,274,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-04,156,7,0,163,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-05,185,27,21,191,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-06,185,7,28,164,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-07,132,4,40,96,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-08,135,2,29,108,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-09,286,18,4,300,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-10,244,25,13,256,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-11,183,24,3,204,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-12,163,17,24,156,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-13,161,6,7,160,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-14,225,18,13,230,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-15,246,0,37,209,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-16,144,0,14,130,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-17,274,0,16,258,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-18,174,7,39,142,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-19,300,18,38,280,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-20,255,6,2,259,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-21,300,9,7,302,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-22,136,28,46,118,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-23,154,6,29,131,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-24,276,28,35,269,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-25,159,28,32,155,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-26,276,29,32,273,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-27,207,9,1,215,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-28,126,0,9,117,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-29,239,12,37,214,152
ITEM-0001,Product 1,Raw Materials,A,2025-03-30,280,3,46,237,152
